picture,text,subtext,subtext2
jazzit-1.jpg,Jazzit Bar,Konsole für Barpersonal,
jazzit-2.jpg,Jazzit Bar,Raspberry Pi + Eurolite DMX Output,
jazzit-3.jpg,Jazzit Bar,Konsole und Raspberry im Schrank,
jazzit-4.jpg,Jazzit Bar,,
jazzit-5.jpg,Jazzit Bar,,
steyr-1.jpg,OÖ Landesausstellung Steyr,"Schaltschrank mit Raspberry Pi, DMX Ethernet Box und LED Dimmer",Wlan Router und Bedienkonsole
steyr-2.jpg,OÖ Landesausstellung Steyr,Montage der LED,
steyr-3.jpg,OÖ Landesausstellung Steyr,,
