Attrib,Addr,Type,Default,Size
Intensity,v,HTP,255,8
Red,0,vLTP,0,8
Green,1,vLTP,0,8
Blue,2,vLTP,0,8
White,3,vLTP,0,8
Amber,4,vLTP,0,8
UV,5,vLTP,0,8
